Issuer Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Nominal,Price,Location,Exchange,Market Currency
AMGN,AMGEN INC,Health Care,Equity,"244,407,658.00",0.21,"244,407,658.00","814,475.00",300.08,United States,NASDAQ,USD
8306,MITSUBISHI UFJ FINANCIAL GROUP INC,Financials,Equity,"241,563,112.29",0.21,"241,563,112.29","17,294,136.00",13.97,Japan,Tokyo Stock Exchange,JPY
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,"235,552,113.45",0.20,"235,552,113.45","1,853,850.00",127.06,Canada,Toronto Stock Exchange,CAD
BSX,BOSTON SCIENTIFIC CORP,Health Care,Equity,"235,333,076.66",0.20,"235,333,076.66","2,244,902.00",104.83,United States,New York Stock Exchange Inc.,USD
ALV,ALLIANZ,Financials,Equity,"235,221,585.61",0.20,"235,221,585.61","585,584.00",401.69,Germany,Xetra,EUR
ICSUAGD,BLK ICS USD LIQ AGENCY DIS,Cash and/or Derivatives,Money Market,"233,793,456.38",0.20,"233,793,456.38","233,793,456.00",1.00,Ireland,--,USD
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,"230,035,511.78",0.20,"230,035,511.78","931,054.00",247.07,United States,New York Stock Exchange Inc.,USD
NOVO B,NOVO NORDISK CLASS B,Health Care,Equity,"228,821,952.12",0.20,"228,821,952.12","4,826,318.00",47.41,Denmark,Omx Nordic Exchange Copenhagen A/S,DKK
6758,SONY GROUP CORP,Consumer Discretionary,Equity,"227,362,130.42",0.20,"227,362,130.42","9,240,190.00",24.61,Japan,Tokyo Stock Exchange,JPY
ULVR,UNILEVER PLC,Consumer Staples,Equity,"227,152,516.23",0.20,"227,152,516.23","3,792,463.00",59.90,United Kingdom,London Stock Exchange,GBP
NEE,NEXTERA ENERGY INC,Utilities,Equity,"222,090,995.76",0.19,"222,090,995.76","3,120,132.00",71.18,United States,New York Stock Exchange Inc.,USD
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,"220,956,264.85",0.19,"220,956,264.85","1,233,359.00",179.15,United States,NASDAQ,USD
ADBE,ADOBE INC,Information Technology,Equity,"217,653,322.12",0.19,"217,653,322.12","642,538.00",338.74,United States,NASDAQ,USD
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,"217,645,065.12",0.19,"217,645,065.12","984,552.00",221.06,United States,NASDAQ,USD
TJX,TJX INC,Consumer Discretionary,Equity,"216,570,279.26",0.19,"216,570,279.26","1,681,838.00",128.77,United States,New York Stock Exchange Inc.,USD
MC,LVMH,Consumer Discretionary,Equity,"215,822,445.96",0.19,"215,822,445.96","408,764.00",527.99,France,Nyse Euronext - Euronext Paris,EUR
PGR,PROGRESSIVE CORP,Financials,Equity,"214,722,761.94",0.19,"214,722,761.94","883,851.00",242.94,United States,New York Stock Exchange Inc.,USD
PFE,PFIZER INC,Health Care,Equity,"213,517,680.75",0.19,"213,517,680.75","8,626,977.00",24.75,United States,New York Stock Exchange Inc.,USD
GILD,GILEAD SCIENCES INC,Health Care,Equity,"211,861,144.80",0.18,"211,861,144.80","1,883,880.00",112.46,United States,NASDAQ,USD
