Ticker,Name,Sector,P/E,P/B,PEG,D/E,ROIC,Dividend Yield %,1M %,1Y %,Peter Lynch,Personal Model
EQIX,"Equinix, Inc.",Real Estate,76.62,5.39,3.09,1.55,0.05,0.02,1.5,-3.26,0.65,37.5
9984.T,SOFTBANK GROUP CORP,Communication Services,17.79,1.77,,1.44,-0.0,0.0,31.17,92.64,0.0,37.5
WBC.AX,WESTPAC FPO [WBC],Financial Services,17.17,1.6,,0.0,,0.04,-0.12,26.81,0.0,25.0
NEM,Newmont Corporation,Basic Materials,12.5,2.37,,0.24,0.23,0.01,17.41,47.71,0.0,75.0
8766.T,TOKIO MARINE HOLDINGS INC,Financial Services,11.53,2.43,,0.05,0.11,0.03,8.39,31.57,0.0,62.5
PRX,756474,,,,,0.0,,,,,0.0,12.5
BARC.L,BARCLAYS PLC ORD 25P,Financial Services,8.97,83.47,1.52,0.0,,0.0,8.34,72.01,1.32,62.5
WMB,"Williams Companies, Inc. (The)",Energy,29.24,5.7,2.53,1.93,0.11,0.03,0.07,38.8,0.79,75.0
8411.T,MIZUHO FINANCIAL GROUP,Financial Services,12.92,1.08,1.23,0.0,,0.03,14.44,74.36,1.62,50.0
ITW,Illinois Tool Works Inc.,Industrials,22.54,23.34,3.96,2.78,0.37,0.02,-1.06,10.02,0.51,62.5
DG,Dollar General Corporation,Consumer Defensive,22.2,3.32,1.91,2.21,0.13,0.02,3.53,2.24,1.05,75.0
BA..L,,,,,,0.0,,,,,0.0,12.5
JCI,Johnson Controls International ,Industrials,35.18,4.36,1.38,0.68,0.08,0.01,-0.89,58.8,1.45,50.0
AON,Aon plc,Financial Services,30.89,10.08,1.79,2.25,0.16,0.01,2.87,12.1,1.12,75.0
MSI,"Motorola Solutions, Inc.",Technology,37.88,38.38,1.83,4.13,0.31,0.01,8.5,11.47,1.09,87.5
GD,General Dynamics Corporation,Industrials,21.1,3.58,2.07,0.45,0.16,0.02,4.72,9.46,0.97,100.0
6861.T,KEYENCE CORP,Technology,33.9,4.26,2.66,0.0,0.18,0.01,-1.3,-6.53,0.75,50.0
PYPL,"PayPal Holdings, Inc.",Financial Services,14.49,3.21,0.89,0.6,0.2,0.0,-9.6,4.53,2.25,75.0
BNS.TO,BANK OF NOVA SCOTIA,Financial Services,16.15,1.13,,0.0,,0.06,2.68,29.42,0.0,25.0
CRH,CRH PLC,Basic Materials,22.91,3.3,2.17,0.73,0.14,0.01,13.3,34.74,0.92,75.0
MRVL,"Marvell Technology, Inc.",Technology,,5.01,,0.34,-0.02,0.0,7.12,28.13,0.0,25.0
ZTS,Zoetis Inc.,Healthcare,25.36,13.14,2.4,1.37,0.31,0.01,-6.59,-19.49,0.83,87.5
